ID;Название товара;Изображение;Новинка;Артикул;Остаток;Цена продажи;Старая цена;Цена закупки;Страна производства;Материал;Размер;Бренд;Количество в упаковке;Штрих-код;Минимальная партия
20538;"Тарелка &quot;Гербарий&quot; ";https://site.com/upload/iblock/827/8273cfd215225e472732001b496b1c59.jpg;1;2010641;24;780;0;390;Германия;Терракота;3х19см;BOLTZE;6;;6
24911;"Блюдо &quot;Линда&quot;в ассортименте ";https://site.com/upload/iblock/9a9/9a9ede9bc875e6cc9a3c6eab724aef31.jpg;1;2009839;18;1490;;745;Германия;Фарфор;8х20см;BOLTZE;3;;3
25504;"Набор из 2-х декоративных блюд &quot;Листья&quot; ";https://site.com/upload/iblock/241/241f121954f68f213057393545fe674f.jpg;1;2015967;2;5140;;2570;Германия;Дерево;19х3х30см/23х3х40см;BOLTZE;1;;1
6961;"Набор из 3-х шт Декор &quot;Грибы&quot; в ассортименте ";https://site.com/upload/iblock/322/3229755574428f58487407312729db58.jpg;1;2003040;6;1740;;870;Германия;Дерево;6х11см/4х12см/5х16см;BOLTZE;24;;2
15339;"Набор из 3-х шт Декор &quot;Грибы&quot;";https://site.com/upload/iblock/401/401dc037cd5a0e2a43498a4140d4a74e.jpg;1;2014017;38;1580;;790;Германия;Дерево манго;6х6х8см/7х7х12см/10х10х16см;BOLTZE;4;;1
21742;"Декор &quot;Гриб&quot; в ассортименте ";https://site.com/upload/iblock/a57/a57a23cb9febe551ba11bab4b5b585f4.jpg;1;2013394;58;314;;157;Германия;Дерево манго;5х7см;BOLTZE;15;;6
24024;"Декор &quot;Сова&quot; в ассортименте ";https://site.com/upload/iblock/90a/90a5977994578ecb6df151a83897fd81.jpg;1;550979.009.707;11;650;;325;Германия;Керамика;9x8,5x9,5см;POSIWIO;4;;4
31428;"Декор &quot;Яблоко&quot; в ассортименте ";https://site.com/upload/iblock/8ea/8eabf45f8ed9314f8551dfc8738dca5b.jpg;1;2012230;25;480;;240;Германия;Фарфор;6х7см;BOLTZE;6;;6
6953;Искуственное растение;https://site.com/upload/iblock/9d4/9d46947949c578291aea6a23361531c0.jpg;1;2004531;21;740;0;370;Германия;Пластик; 8х21см;BOLTZE;12;;1
10946;Искуственное растение в кашпо;https://site.com/upload/iblock/c97/c975f546427b8d27f5c0bbf9def87199.jpg;1;2010444;1;6540;;3270;Германия;Пластик; 23х120см;BOLTZE;2;;1
11006;Искуственное растение в кашпо;https://site.com/upload/iblock/116/116d3c364cb72511e54e0e6d2546e51f.jpg;1;2010445;3;3940;;1970;Германия;Пластик; 21х91см;BOLTZE;4;;1
11320;Пучок сухоцветов (Eragrostis tremula) ;https://site.com/upload/iblock/23a/23a283619107a096d19b9f2d4003f673.jpg;1;2008518;28;440;;220;Германия;Сухоцвет;18х65см;BOLTZE;24;;1
23597;Искуственное растение в ассортименте ;https://site.com/upload/iblock/baa/baa094455328d18f22e43a70aeb063bb.jpg;1;2012223;3;794;;397;Германия;Пластик;39см;BOLTZE;24;;2
7787;"Шкатулка &quot;Далия&quot; в ассортименте";https://site.com/upload/iblock/c4c/c4cba1beea8ce597fa557de1bafb0762.jpg;1;2011365;62;454;;227;Германия;Стекло; 9х13см;BOLTZE;12;;3
8695;"Панно &quot;Дерево&quot; ";https://site.com/upload/iblock/4b8/4b870e442ef052b16fb544d08c3f40a3.jpg;1;2012403;3;13500;;6750;Германия;Металл;75х4х82см;BOLTZE;1;;1
15498;"Панно &quot;Гербарий&quot; в ассортименте ";https://site.com/upload/iblock/87b/87b066f9c60923af753698d8602fb5cb.jpg;1;2015776;4;894;;447;Германия;Стекло,металл;16х0,4х23см;BOLTZE;12;;2
22130;"Декор настенный &quot;Крылья Ангела&quot; ";https://site.com/upload/iblock/986/986ba19665e39ba81de759fa7d2bfe43.jpg;1;490638.088.802;8;4100;;2050;Германия;Металл;23х3х88см;POSIWIO;12;;1
23909;"Панно  &quot;Бабочки&quot; ";https://site.com/upload/iblock/5d0/5d040dece3ba71be3bd8ed04f28ef50c.jpg;1;2232800;2;4040;;2020;Германия;Металл;56х3,5х58см;BOLTZE;1;;1
1278;"Подсвечник &quot;Олень&quot; в ассортименте ";https://site.com/upload/iblock/c9a/c9aa221c874528de22922533fb522215.jpg;1;2004320;84;350;;175;Германия;Стекло,металл;13х17см;BOLTZE;12;;4
1285;"Подсвечник &quot;Поэзия&quot; ";https://site.com/upload/iblock/3d2/3d2158bc5c5a3a0e47665cb2e2e5fc4e.jpg;1;2009189;7;1740;;870;Германия;Стекло;13х18см;BOLTZE;1;;1
1573;"Декор &quot;Елка-Шотландка&quot; в ассортименте ";https://site.com/upload/iblock/b14/b147d525d6d68cf0d8cf94da559b1c72.jpg;1;2016251;40;780;;390;Германия;Текстиль,МДФ,пластик;19х7х24см;BOLTZE;12;;2
1605;"Декор &quot;Сахарное яблоко&quot; ";https://site.com/upload/iblock/7d7/7d7d39325caf239160adf785ff477071.jpg;1;531195.000.403;60;130;;65;Германия;Полипена;5,5см;POSIWIO;12;;12
1935;"Декор подвесной &quot;Ключ&quot; в ассортименте";https://site.com/upload/iblock/a7b/a7b2e30a80cf7585cb7f52e341e3b448.jpg;1;450826.000.138;167;270;;135;Германия;Поликерамика; 4,5x1x10см;POSIWIO;12;;12
2064;"Этажерка &quot;Олени&quot; ";https://site.com/upload/iblock/a57/a5708dfb57cd123ccd252977f21d5918.jpg;1;2016907;6;7780;;3890;Германия;Металл;23х47см;BOLTZE;1;;1
2455;"Елочное украшение &quot;Варежка&quot; ";https://site.com/upload/iblock/0f6/0f6ca9261ede3936f51330c850b17be5.jpg;1;530979.000.120;44;550;;275;Германия;Стекло;6,5x3x9см;POSIWIO;4;;4
2499;"Декор подвесной &quot;Сердце/Звезда&quot; в ассортименте";https://site.com/upload/iblock/e57/e57b65e7bcb3a19301e94675e49cbfef.jpg;1;551098.000.449;204;250;;125;Германия;Текстиль;11x11см + 10см подвес;POSIWIO;12;;12
2880;"Панно &quot;Олень&quot; в ассортименте";https://site.com/upload/iblock/86d/86d4bbeb4a070ef3fdb86b514ff4b36d.jpg;1;2002941;24;420;0;210;Германия;Дерево; 30х1х30см;BOLTZE;12;;3
3750;"Венок &quot;Лоза&quot; ";https://site.com/upload/iblock/375/375e0f5309dfe276105021edec7afea1.jpg;1;552497.025.726;36;400;;200;Германия;Ива;5х25см;POSIWIO;;;1
3982;"Елочный шар &quot;Санта&quot; в ассортименте ";https://site.com/upload/iblock/8a1/8a1dd69c596d3dbefe258d91b8f3e82e.jpg;1;2016858;36;450;;225;Германия;Стекло;8см;BOLTZE;12;;12
4204;"Елочное украшение на клипсе &quot;Птица&quot; в ассортименте";https://site.com/upload/iblock/51a/51a2ed062e7896c53e8da4e952e8b755.jpg;1;2012079;48;420;;210;Германия;Стекло,перо;4х3х17см;BOLTZE;24;;24
4209;"Набор из 3-х светодиодных подсвечников &quot;Голландские домики&quot;";https://site.com/upload/iblock/f99/f992408e4293e1a1aff86ca9c6b5920d.jpg;1;2016225;4;7740;;3870;Германия;МДФ;11х5х27см/14х8х34см/18х10х41см;BOLTZE;1;;1
4879;"Елочный шар &quot;Зимние ягоды&quot; в ассортименте ";https://site.com/upload/iblock/f4c/f4c4da7ef48666d44fb06f7b431b5bf7.jpg;1;2012137;36;490;0;245;Германия;Стекло;8см;BOLTZE;12;;12
5117;"Декор подвесной &quot;Птицы/Ангел с птицей&quot; в ассортименте";https://site.com/upload/iblock/c03/c031f119c9e833f8d75c40dd8eaced79.jpg;1;550304.000.108;74;250;;125;Германия;Металл;10см + 10см подвес;POSIWIO;12;;12
5120;"Декор подвесной &quot;Бубенцы&quot; в ассортименте ";https://site.com/upload/iblock/860/8601ddeba8ab2da1d0f1a2c19aea7bac.jpg;1;551114.000.994;68;450;;225;Германия;Металл;4x42см;POSIWIO;;;6
5539;"Свеча &quot;Звезда&quot; в ассортименте ";https://site.com/upload/iblock/a9f/a9f2ef37cce9f6e334fe266e125e5b58.jpg;1;2014944;3;560;;280;Германия;Стекло,парафин;10х6х10см;BOLTZE;24;;3
6180;"Набор из 2-х подвесов &quot;Ангелы&quot;";https://site.com/upload/iblock/04f/04f70141b10af62436a186ccb1b8f064.jpg;1;2003475;4;1740;;870;Германия;Металл;34х0,5х38,5см/45х0,5х57см;BOLTZE;12;;1
6516;Ель ;https://site.com/upload/iblock/538/538bf47bbe820a6b309445a70daafad3.jpg;1;2015452;5;9020;;4510;Германия;Пластик;45х45х120см;BOLTZE;1;;1
6838;"Декор &quot;Олень&quot; в ассортименте ";https://site.com/upload/iblock/d60/d60a4a070cea3f445f36834565b05cb9.jpg;1;2014507;4;3940;;1970;Германия;Полиэстр;23х20х73см;BOLTZE;8;;2
6855;"Подсвечник &quot;Венок из рогов&quot; ";https://site.com/upload/iblock/be9/be95f3ae81e43ab207a69e4c105a54e2.jpg;1;552047.000.129;13;2170;;1085;Германия;Алюминий;6,5х20см;POSIWIO;;;1
6998;"Декор подвесной &quot;Мухомор&quot; в ассортименте ";https://site.com/upload/iblock/017/0176ea6717a0fefecd7a9f41538e0025.jpg;1;530686.000.449;105;200;;100;Германия;Дерево манго;6x8см/7x8см + 8см подвес;POSIWIO;24;;24
7014;"Набор из 2-х подсвечников &quot;Олени&quot; в ассортименте ";https://site.com/upload/iblock/e1b/e1bde7ac4c4621c30fd8d83d2f82e8de.jpg;1;2012910;39;1100;;550;Германия;Стекло;7х8см/9х10см;BOLTZE;12;;3
7155;"Декор подвесной &quot;Ель&quot; в ассортименте ";https://site.com/upload/iblock/744/74450e165dba39004eb931c616722640.jpg;1;2015153;6;450;;225;Германия;Дерево;6х13см;BOLTZE;24;;6
7458;"Елочный шар &quot;Золотая ветка&quot; в ассортименте ";https://site.com/upload/iblock/d09/d0918c8bef434fb60d4cb402245a691c.jpg;1;2016856;84;450;;225;Германия;Стекло;8см;BOLTZE;12;;12
7888;"Декор &quot;Мухомор&quot; в ассортименте";https://site.com/upload/iblock/3ed/3ed655146112d29cd2d3c3f2ea08ca64.jpg;1;530236.000.364;42;500;;250;Германия;Дерево; 7,5x13,5см;POSIWIO;6;;6
7964;"Декор подвесной &quot;Ажурный шар&quot; в ассортименте";https://site.com/upload/iblock/9a3/9a3f1dd8ec96399d9535242ea0c02842.jpg;1;572031.015.826;48;480;;240;Германия;Металл;12x15см + 15см подвес;POSIWIO;6;;6
8202;"Декор подвесной &quot;Шишка&quot; в ассортименте";https://site.com/upload/iblock/3f3/3f3c078b06c7300fe7581cdc338ecec1.jpg;1;530245.009.302;105;250;;125;Германия;МДФ;4,5x6,5см / 3,5x9см + 9см подвес;POSIWIO;;;12
8791;"Набор из 3-х шт Декор &quot;Грибы&quot; ";https://site.com/upload/iblock/59e/59e9e025270457e87fad5838d5dd1421.jpg;1;2015739;13;2880;;1440;Германия;Дерево манго;10х10см/11х14см/14х22см;BOLTZE;2;;1
8887;"Набор из 2-х подсвечников &quot;Мятный лес&quot; в ассортименте ";https://site.com/upload/iblock/442/44268d6b091531c834b1af160c380cd4.jpg;1;2003917;3;1080;;540;Германия;Стекло;7х8см/9х10см;BOLTZE;12;;3
9448;"Декор &quot;Ель&quot; в ассортименте ";https://site.com/upload/iblock/d73/d733dc170844351c9a07bba608d7cd20.jpg;1;2015152;38;980;;490;Германия;Дерево,МДФ,текстиль;16х40см;BOLTZE;12;;2
9498;"Декор светодиодный &quot;Венок&quot;  шампань малый (с таймером)";https://site.com/upload/iblock/bdd/bdd92aadd77af8f0633714271c0f4f63.jpg;1;532906.020.223;9;1050;;525;Германия;Металл;20см/20 LED;POSIWIO;3;;3
9559;"Декор подвесной &quot;Звезда&quot; в ассортименте ";https://site.com/upload/iblock/211/211934ef41ea66f39ce6c3eaecc4fc94.jpg;1;550338.015.365;14;550;;275;Германия;МДФ;15,5x3x15,5см + 10см;POSIWIO;6;;6
9832;"Декор &quot;Бемби&quot; в ассортименте ";https://site.com/upload/iblock/f68/f68ff829b349725daccb7687b87d306b.jpg;1;2014922;44;550;;275;Германия;МДФ;17х4х25см;BOLTZE;12;;2
9846;"Подсвечник &quot;Домики&quot; серый ";https://site.com/upload/iblock/76a/76ad6db3af1c7db5cd0fcd11cdf939f2.jpg;1;570016.000.802;6;2990;;1495;Польша;Металл;15х9х40см;POSIWIO;4;;1
9994;"Елочное украшение &quot;Триола&quot; в ассортименте ";https://site.com/upload/iblock/06e/06eea32bb4b6d56f2229d9c37ee1daa1.jpg;1;2013465;6;780;;390;Германия;Стекло;7х7см;BOLTZE;3;;3
10132;"Набор из 2-х подсвечников &quot;Домики&quot; в ассортименте ";https://site.com/upload/iblock/adb/adb0cabba87385101b5e826218841935.jpg;1;2012920;4;1080;;540;Германия;Стекло;7х8см/9х10см;BOLTZE;12;;2
10214;"Подвес &quot;Звезда/Сердце/Ель&quot; в ассортименте ";https://site.com/upload/iblock/d4f/d4f1113987e6fd3318ae1978628d955f.jpg;1;2016170;46;380;;190;Германия;Полиэстр;5х15см;BOLTZE;24;;6
10755;"Декор &quot;Ель&quot;";https://site.com/upload/iblock/8fe/8fe4b1a26f73d8f5d8e355f398dcef81.jpg;1;2016323;4;980;;490;Германия;Дерево манго;13х4х19см;BOLTZE;4;;4
10966;Гаситель для свечей в ассортименте;https://site.com/upload/iblock/a2d/a2d103569ba4bd618c80f515584d67d6.jpg;1;6657200;103;540;;270;Германия;Алюминий+Никель;4х30см;BOLTZE;24;;3
11395;"Декор светодиодный &quot;Пика&quot; ";https://site.com/upload/iblock/e47/e47f517a8826135ab92641ed6cc967fa.jpg;1;532899.060.121;6;1900;;950;Германия;Металл,хлопок;16x60см / 40 LED;POSIWIO;1;;1
11443;"Декор подвесной &quot;Звезда&quot; в ассортименте ";https://site.com/upload/iblock/b7f/b7f3315b903a65c439efa3b8b5cd3888.jpg;1;7724;44;990;0;495;Германия;Металл;21,5x21,5см;HOFF Interieur;4;;4
11636;"Этажерка &quot;Олень&quot; ";https://site.com/upload/iblock/d7a/d7a83350998657c7999d3bd919a310fa.jpg;1;2016677;26;2480;;1240;Германия;Алюминий;16х20см;BOLTZE;1;;1
11669;"Подсвечник &quot;Ель&quot; в ассортименте ";https://site.com/upload/iblock/7da/7da057ed1a1ee1114abe0031d1b4712d.jpg;1;2015196;24;480;;240;Германия;Металл,Стекло;6х17см;BOLTZE;3;;3
11743;"Елочное украшение на клипсе &quot;Роза&quot; ";https://site.com/upload/iblock/608/60873d261a4fea9fd58efc3c30e7a1eb.jpg;1;550134.000.226;117;400;;200;Германия;Стекло;6x6см;POSIWIO;3;;3
11748;"Вешалка &quot;Рога&quot; ";https://site.com/upload/iblock/cc1/cc11ffaaa90959dc4a63dc162472c4a1.jpg;1;471326.000.708;8;850;;425;Германия;Металл;16х5,5х22см;POSIWIO;4;;4
11969;"Набор из 2-х шт Декор &quot;Олени&quot; ";https://site.com/upload/iblock/3e0/3e0489c1f9b69113eea815872b193607.jpg;1;2015730;11;1940;;970;Германия;Алюминий,дерево;9х9х16см/12х12х22см;BOLTZE;2;;1
12137;"Декор подвесной &quot;Крылья Ангела&quot; ";https://site.com/upload/iblock/42f/42f5cfa55ee09eccb7466b7642dc94eb.jpg;1;470652.037.226;40;1900;;950;Германия;Металл;23x1,5x37см + подвес;POSIWIO;24;;1
12348;"Декор &quot;Елка в шапочке&quot; ";https://site.com/upload/iblock/3cb/3cb414024caafc3021b524b51d0d7d5a.jpg;1;530266.024.490;12;480;;240;Германия;МДФ;13,5x5x24,5см;POSIWIO;6;;6
12717;"Декор подвесной &quot;Новогоднее ассорти&quot; в ассортименте ";https://site.com/upload/iblock/5d9/5d959eb5566603d3f3fd4b5410563b54.jpg;1;2014148;43;190;;95;Германия;Металл;9см;BOLTZE;48;;12
12931;"Декор подвесной &quot;Меховой шарик&quot; в ассортименте";https://site.com/upload/iblock/71f/71f9aeef67197d746711c7072f9cd097.jpg;1;2016402;42;410;;205;Германия;Полиэстр;10см;BOLTZE;24;;6
